page_id,Has_Date_Top,Year_Value,Two_Columns,Is_Signed,Signature_Location,Has_Mark_TopLeft,Count_Additional_Marks,Count_Con,Con_Next_Words,Count_E,E_Next_Words,Traveler_Unnamed_L,Traveler_Unnamed_R,Count_Brackets,Brackets_Left,Brackets_Right,Has_Bracket_Annotation,Bracket_Annotation_Words,Traveler_Named_L,Traveler_Named_R,Count_Instances_Origin,Count_Unique_Stays,Stays_Left,Stays_Right,Count_Quondam
AVS IS 758-781 1768 05 08 p5.jpg,N,,yes,Y,Bottom Right,N,1,9,un figlio | un figlio | un domestico | tre domestici | un domestico | cinque domestici | due domestici | due domestici | un nipote,1,un domestico,13,4,12,9,3,Y,"[""Tutti e tre Gentiluomini Inglesi con cinque Domestici"",""ambedue di Cararzere?"",""ambedue dalla Pettovazza?"",""ambedue di Padova"",""ambedue di Genova"",""Tutti e tre di Bergamo""]",33,0,26,8,7,1,2
AVS IS 758-781 1768 05 08.jpg,Y,8 May 1768,yes,N,,Y,1,14,un domestico | un domestico | quindeci domestici | sua moglie | due domestici | sua moglie | una cameriera | due domestici | un domestico | moglie | tre domestici | sua moglie | tre domestici | un domestico,2,quattro domestici | una figlia,24,1,12,6,6,Y,"[""ambedue di Boemi con un domestico"",""tutti di Vienna con quindeci domestici"",""Tutti ungheri"",""Ferraresi"",""tutti di Sacik?"",""tutti e tre di Padova con un Domestico""]",23,19,21,13,5,8,6
AVS IS 758-781 1768 05 09 p1.jpg,Y,9 May 1768,yes,N,,N,0,5,un figliuolo | un figliuolo | un figliuolo | un domestico | moglie,1,tre figliuoli,3,5,0,0,0,N,,17,3,21,29,16,13,11
AVS IS 758-781 1768 05 09 p2.jpg,Y,9 May 1768,yes,Y,Bottom Right,N,0,0,,0,,0,0,2,2,0,Y,tutti di Pavia,6,0,3,4,4,0,1
AVS IS 758-781 1768 05 09 p3.jpg,N,,yes,N,,N,0,0,,0,,0,0,0,0,0,N,,5,0,5,6,0,6,2
AVS IS 758-781 1768 05 16.jpg,Y,16 May 1768,yes,Y,Bottom Right,Y,1,5,un domestico | un domestico | un domestico | tre domestici | quattro domestici,0,,10,0,6,5,1,Y,"[""Ambedue di Udine"",""ambedue di Zorigo"",""ambedue di Milano""]",18,2,17,12,9,3,7
AVS IS 758-781 1768 05.jpg,Y,5 December 1768,yes,N,,Y,1,4,moglie | due domestici | sua moglie | suo figliuolo,3,due compagni | un domestico | quattro domestici,5,7,12,8,4,Y,"[""ambedue di Verona"",""tutti e tre di Padova"",""tutti Grisoni?"",""ambedue di Piove"",""ambedue di Campidonia"",""ambedue di Roveredo""]",17,10,17,19,11,8,3
AVS IS 758-781 1768 08 01.jpg,Y,1 August 1768,yes,Y,Bottom Right,Y,1,5,cinque Officiali | sua moglie | undeci domestici | due domestici | un suo filgliuolo,1,tre domestici,7,1,2,2,0,Y,ambedue Francesi,11,3,8,10,5,5,2
AVS IS 758-781 1768 09.jpg,Y,12 September 1768,yes,Y,Bottom Right,Y,1,3,un domestico | due domestici | un figliuolo,1,un domestico,5,0,4,4,0,Y,"[""Ambedue di Valcamonica"",""Tutti di Bergamo""]",11,0,7,6,6,0,6
AVS IS 758-781 1768 11 07.jpg,Y,7 November 1768,yes,N,,Y,0,7,"due domestici | un segretario, dues camerieri | un domestico | due domestici | un domestico | una cameriera | un domestico",1,tre domestici,11,1,6,2,4,Y,"[""tutti e tre di Piove"",""tutti e tre di Praga"",""tutti e tre di Piove""]",17,9,21,23,15,8,2
AVS IS 758-781 1768 11 28.jpg,Y,28 November 1768,yes,N,,Y,2,7,un figlio | un domestico | sua moglie | quattro domestici | un figlio | un figlio | un suo nipote,0,,9,0,10,6,4,Y,"[""Inglesi"",""ambedue di Montagnana"",""ambedue di Roveredo"",""ambedue d'Ungheria"",""ambedue di Vienna""]",16,6,19,12,9,3,2
AVS IS 758-781 1769 05 p1.jpg,Y,8 May 1769,yes,N,,N,0,2,sua moglie | moglie,4,una figlia | figlia | figlia | una figlia,4,2,0,0,0,N,,11,2,15,23,20,3,4
AVS IS 758-781 1769 05 p2.jpg,N,,yes,N,,N,0,0,,0,,0,0,6,5,1,Y,"[""ambedue di Montova"",""tutti di Ferrara"",""ambedue di Cento""]",22,0,18,22,16,6,8
AVS IS 758-781 1770 03.jpg,Y,5 March 1770,yes,Y,Bottom Right,Y,1,2,due domestici | un domestico,0,,2,1,8,6,2,Y,"[""ambedue Inglesi"",""ambedue di Lendenara"",""ambedue di Zorigo"",""ambedue di Lendenara""]",8,6,10,19,9,10,0
AVS IS 758-781 1770 05 13.jpg,Y,13 March 1770,yes,Y,Bottom Right,Y,2,7,un domestico | un domestico | un domestico | un sua figlia | un domestico | un domestico | un domestico,0,,6,1,4,2,2,Y,"[""ambedue di Verona"",""ambedue di Verona""]",11,4,13,10,7,3,0
AVS IS 758-781 1770 05 17 p1.jpg,N,,yes,Y,Bottom Right,Y,1,8,quattro domestici | un domestico | un domestico | quattro domestici | due domestici | un domestico | due domestici | una cameriera,0,,12,4,12,8,4,Y,"[""ambedue di Udine"",""tutti e tre gentiluomini Inglesi"",""gentiluomini Inglesi"",""ambedue di Brescia"",""ambedue di Ferrara"",""tutti di Verona""]",16,10,17,12,7,5,0
AVS IS 758-781 1770 05 17 p2.jpg,Y,21 May 1770,yes,N,,Y,1,0,,0,,0,0,4,2,2,Y,"[""ambedue di Verona"",""ambedue di Verona""]",8,9,17,15,7,8,4
AVS IS 758-781 1770 05 28 p1.jpg,Y,28 May 1770,yes,Y,Bottom Right,Y,3,10,un domestico | un domestico | due domestici | due domestici | sua moglie | quattro domestici | quattro domestici | cinque domestici | un domestico | un domestico,0,,20,2,16,14,2,Y,"[""ambedue d' Udine"",""ambedue di Milano"",""tutti e tre Francesci"",""di Brescia"",""tutti Inglesi"",""tutti e tre di Genova"",""ambedue di Gratz"",""ambedue di Baveria""]",24,10,23,10,4,6,0
AVS IS 758-781 1770 05 28 p2.jpg,N,,yes,N,,N,4,16,un domestico | un domestico | is suo Aggio | sua moglie | moglie | sua moglie | un suo capellano | quattro domestici | due domestici | sua moglie | sua moglie | due domestici | un figlio | un domestico | quattro domestici | un capellano,5,due domestici | una figlia | due domestici | due domestici | quattro domestici,9,23,26,12,14,Y,"[""ambedue di Vienna"",""Ambedue di Piacenza"",""ambedue di Bologna"",""Ambedue di Genova"",""Tutti e due di Firenze"",""di ????? di Bellano"",""Tutti e tre di Genova"",""Tutti di Verona"",""ambedue Tedeschi"",""ambedue Inglesi"",""Inglesi"",""ambedue di Firenze"",""ambedue di Cremona""]",22,27,34,12,5,7,0
AVS IS 758-781 1770 05 28 p3.jpg,Y,28 May 1770,yes,N,,N,0,1,un figlio,1,moglie,1,1,14,10,4,Y,"[""Ambedue di Mantova"",""Ambedue di Mantova"",""Ambedue di Bre???"",""di Verona"",""ambedue dal Fina??"",""Ambedue di San Polo"",""Tutti di Ferrara""]",18,12,19,14,10,4,5
AVS IS 758-781 1770 05.jpg,Y,21 May 1770,yes,N,,Y,0,4,un domestico | moglie | un domestico | un figlio,1,un domestico,5,0,6,4,2,Y,"[""Ambedue di Vincenza"",""Ambedue di Verona"",""Ambedue di Brescia""]",14,4,15,13,10,3,0
AVS IS 758-781 1770 08.jpg,Y,20 August 1770,yes,Y,Bottom Right,Y,1,2,un domestico | due domestici,0,,3,0,2,2,0,Y,Ambedue Inglesi,8,2,9,6,4,2,0
